Country,Year,Unemployment,Delta_Unemployment,COORD,GDPGrowth,Inflation,ExportDependence,GovSpend
Denmark,2003,5.398,1.1239999999999997,4.0,0.441091006625101,2.07507820646506,43.7731471646248,25.0007505768517
Denmark,2004,5.204,-0.19399999999999995,4.0,2.77635180744053,1.15435693124934,43.821544808921,24.8732294572073
Denmark,2005,4.83,-0.37399999999999967,4.0,2.35960882992528,1.81781458291254,47.3751212346545,24.4356057323132
Denmark,2006,3.897,-0.9330000000000003,4.0,3.81648769908172,1.92422138464584,50.6843661293202,24.1607314049511
Denmark,2007,3.801,-0.09599999999999964,4.0,0.987173815945127,1.69326586220324,51.3974872348582,24.2779391801677
Denmark,2008,3.683,-0.11800000000000033,4.0,-0.417178439991005,3.41626794258374,53.9709187280921,24.9864493189355
Denmark,2009,6.409,2.726,4.0,-4.97447905669058,1.30470991024335,46.9989097546293,27.8156943528533
Denmark,2010,7.746,1.3370000000000006,4.0,1.58289703108802,2.31092436974786,50.5907805356338,27.3361076692926
Denmark,2011,7.769,0.022999999999999687,4.0,1.3108037609606,2.7586822605125,54.0836272472402,26.5405591973408
Denmark,2012,7.798,0.028999999999999915,4.0,-0.0054323016167074,2.3979148566464,55.0808426058575,26.5003228378334
Denmark,2013,7.384,-0.4139999999999997,4.0,1.39267343161971,0.789071780078062,54.9209092360852,25.9285043343491
Denmark,2014,6.925,-0.4590000000000005,4.0,1.27799983192831,0.56402054044954,54.8334037514843,25.7974203785069
Denmark,2015,6.278,-0.6470000000000002,4.0,2.10441456445301,0.452034153691574,55.8143215733858,25.5463558237146
Denmark,2016,5.989,-0.2889999999999997,4.0,3.07304549209093,0.250000000000031,53.7439528985173,24.9429154800128
Denmark,2017,5.833,-0.1559999999999997,4.0,3.05647723922718,1.14713216957601,55.3459515613736,24.4496622577768
Denmark,2018,5.131,-0.702,4.0,1.8600074900921,0.813609467455631,56.9833683807386,24.3811073900807
Denmark,2019,5.018,-0.11300000000000043,4.0,1.71140093932736,0.75813157251162,58.9506079167167,24.2047767614883
Denmark,2020,5.644,0.6260000000000003,4.0,-1.78010601831291,0.420711974110024,55.0368973244514,24.6799875258246
Denmark,2021,5.065,-0.5789999999999997,4.0,6.50025445756295,1.85304543989689,59.2073478715957,23.9787227305152
Denmark,2022,4.434,-0.6310000000000002,4.0,0.443832614908331,7.69656699889259,70.7552148776405,21.7803158451184
Denmark,2023,5.094,0.6600000000000001,4.0,0.604587766175584,3.30517811237605,69.3143620591443,22.617097497429
Finland,2000,11.134,NA,2.0,5.75373770498848,3.04210080667795,42.0483040781312,19.7454284164064
Finland,2001,10.29,-0.8440000000000012,4.0,2.64026205699308,2.57844080098895,39.7682089438709,19.9276690200743
Finland,2002,10.423,0.1330000000000009,4.0,1.68732644358099,1.57122012789379,39.1471301535974,20.6339261654541
Finland,2003,10.469,0.045999999999999375,4.0,2.01179992738312,0.877440386254785,37.3294488313537,21.1015463305957
Finland,2004,10.358,-0.11099999999999888,4.0,4.00537952277651,0.187120559084418,38.6195122873108,21.1867129475057
Finland,2005,9.602,-0.7560000000000002,4.0,2.77730918518017,0.62387445002519,40.2785031518346,21.4142567378815
Finland,2006,8.935,-0.6669999999999998,4.0,4.01957326515895,1.56666380704386,43.0831708713938,21.3252266271744
Finland,2007,6.854,-2.0810000000000004,4.0,5.31280176694145,2.5106656524034,43.8289523626236,20.7683137405845
Finland,2008,6.369,-0.4850000000000003,3.0,0.784431235717051,4.06595355358379,44.9027814242251,21.5662048977365
Finland,2009,8.249,1.8800000000000008,3.0,-8.07603116552393,-9.17360384430342e-07,36.0833081134619,24.0691116185655
Finland,2010,8.394,0.14499999999999957,3.0,3.1682879121621,1.18413523154646,38.4130493709706,23.6857350901157
Finland,2011,7.781,-0.6130000000000004,4.0,2.39039455396828,3.41680754255211,38.9673926791632,23.4018871265589
Finland,2012,7.689,-0.09199999999999964,4.0,-1.52284013040689,2.80833622561573,38.9349130144028,24.1763067801854
Finland,2013,8.193,0.5039999999999996,4.0,-0.979741024949618,1.47828615688809,38.250195334575,24.6357440158823
Finland,2014,8.663,0.47000000000000064,4.0,-0.4780684247837,1.04119621178439,36.8060042262758,24.6314153166064
Finland,2015,9.376,0.7129999999999992,4.0,0.466503766322674,-0.207928839905268,35.7815711349623,24.5228172337672
Finland,2016,8.818,-0.5579999999999998,4.0,2.57193414898754,0.356684500891695,35.3333302428645,23.868772512134
Finland,2017,8.64,-0.17799999999999905,3.0,3.30337003591039,0.754015047084346,38.1663150961701,22.9490979324095
Finland,2018,7.361,-1.2790000000000008,3.0,1.19297759742292,1.08382098409305,39.1492205860158,23.0551303335418
Finland,2019,6.695,-0.6659999999999995,3.0,1.34973845741737,1.0240939296343,40.6183181143561,23.318575537276
Finland,2020,7.759,1.064,3.0,-2.49103605535707,0.290554555653239,36.2143434283611,24.4205476612504
Finland,2021,7.617,-0.14200000000000035,3.0,2.67634641498897,2.19457432340007,39.9217732469328,24.7953884002508
Finland,2022,6.719,-0.8979999999999997,3.0,0.763041912763526,7.12350773301402,46.2847802806846,24.1490221128375
Finland,2023,7.149,0.4299999999999997,3.0,-0.939093459613758,6.25064322154762,42.7930569401278,25.6197589866886
Germany,2000,7.917,NA,4.0,2.8765231247659,1.44026838719741,29.6806532498145,18.860569292751
Germany,2001,7.773,-0.14400000000000013,4.0,1.63614170690956,1.98385731334471,30.5604113813066,18.7505067113635
Germany,2002,8.482,0.7089999999999996,4.0,-0.228255715793637,1.42080615551526,31.1904504893495,19.0132502158895
